segment_id,size_percentage,in_human_selection,in_lime_selection,lime_weight,human_rank,lime_rank
0,2.956881533101045,False,True,-0.0,,1.0
7,4.005226480836237,True,True,-0.0,1.0,14.0
8,7.011759581881533,True,True,0.0,2.0,13.0
9,1.896341463414634,False,True,-0.0,,12.0
10,2.887630662020906,True,True,-0.0,6.0,11.0
11,1.81794425087108,True,True,-0.0,7.0,10.0
12,2.6933797909407664,True,True,0.0,8.0,9.0
13,1.05095818815331,False,True,-0.0,,8.0
14,1.2338850174216027,True,True,0.0,9.0,7.0
15,2.2382404181184667,False,True,-0.0,,6.0
16,1.2974738675958188,False,True,-0.0,,5.0
17,2.287020905923345,True,True,-0.0,3.0,4.0
18,2.2382404181184667,False,True,-0.0,,3.0
19,1.5331010452961673,False,True,-0.0,,2.0
21,3.287456445993031,True,False,0.0,4.0,
23,2.3689024390243905,True,False,0.0,10.0,
24,2.315766550522648,True,False,0.0,14.0,
27,2.0226480836236935,True,False,0.0,5.0,
30,3.225609756097561,True,False,0.0,11.0,
36,2.725609756097561,True,False,0.0,12.0,
37,2.3087979094076654,True,False,0.0,13.0,
